FlightId	ProcessingTimeUtc	AirlineCode	FlightNumber	SchedDepAirportCode	SchedArrAirportCode	SchedDepartureUtc	SchedArrivalUtc	SchedDepartureLocal	SchedArrivalLocal	Status	DiversionStatus	RecoveryExists	OpAirlineCode	OpFlightNumber	AltDepAirportCode	AltArrAirportCode	OutGateLocal	OutGateUtc	OutGateAccuracy	OutGateSource	InAirLocal	InAirUtc	InAirAccuracy	InAirSource	LandedLocal	LandedUtc	LandedAccuracy	LandedSource	InGateLocal	InGateUtc	InGateAccuracy	InGateSource	DepTerminal	DepGate	CheckinCounter	ArrTerminal	ArrGate	Baggage	SvcType	AircraftType	OptionalEquipment	WeightClass	Unscheduled	SeqNumber	NumLegs	DepAirportCountryId	ArrAirportCountryId	TailNumber	RegAirlineCode	RegFlightNumber	DepScheduleStatus	ArrScheduleStatus	OriginationDateLocal	OriginationDateUtc	DomIntDep	DomIntArr	PrevFltAirlineCode	PrevFltNumber	PrevFltSchedArrLocal	PrevFltSchedArrUtc	PrevFltMethod	Suffix	AircraftOwner	IsGeneralAviation	SchedDepAptNS	SchedArrAptNS	AltDepAptNS	AltArrAptNS	DepDelayCode	ArrDelayCode	UpStreamLegs	DownStreamLegs	NewToFlightWindow	StatusChange	PreviousStatus	DiversionStatusChange	PreviousDiversionStatus	OutGateUtcChange	PreviousOutGateUtc	PreviousOutGateLocal	InAirUtcChange	PreviousInAirUtc	PreviousInAirLocal	LandingUtcChange	PreviousLandingUtc	PreviousLandingLocal	InGateUtcChange	PreviousInGateUtc	PreviousInGateLocal	DepGateChange	PreviousDepGate	DepTerminalChange	PreviousDepTerminal	ArrGateChange	PreviousArrGate	ArrTerminalChange	PreviousArrTerminal	BaggageChange	PreviousBaggage	AircraftTypeChange	PreviousAircraftType	TailNumberChange	PreviousTailNumber	PrevFltChange	PreviousPrevFltAirlineCode	PreviousPrevFltNumber	OtherChange
AA3238MIACLE04131816	2017-04-13 20:28:00	AA	3238	MIA	CLE	2017-04-13 18:16	2017-04-13 21:11	2017-04-13 14:16	2017-04-13 17:11	InAir		N					2017-04-13 14:09	2017-04-13 18:09	Actual	AirlineData	2017-04-13 14:25	2017-04-13 18:25	Actual	AirlineData	2017-04-13 17:01	2017-04-13 21:01	Estimated	FlightViewData	2017-04-13 17:17	2017-04-13 21:17	Estimated	AirlineData	N	D55			A12		J	E145		L		1	1	US	US	N650AE	MQ	3238			2017-04-13	2017-04-13			AA	3726	2017-04-13 13:30	2017-04-13 17:30	T		MQ		I	I			06	06														Y	2017-04-13 21:02	2017-04-13 17:02																					
AA638PHXSJC04132032	2017-04-13 20:28:00	AA	638	PHX	SJC	2017-04-13 20:32	2017-04-13 22:25	2017-04-13 13:32	2017-04-13 15:25	OutGate		N					2017-04-13 13:27	2017-04-13 20:27	Actual	AirlineData									2017-04-13 15:23	2017-04-13 22:23	Estimated	AirlineData	4	A8		A	11		J	A320		L		2	2	US	US	N649AW					2017-04-13	2017-04-13			AA	667	2017-04-13 12:48	2017-04-13 19:48	T				I	I			06	06	DTW			Y	Scheduled			Y	2017-04-13 20:32	2017-04-13 13:32							Y	2017-04-13 22:28	2017-04-13 15:28																		
UC1106SCLMIA04131126	2017-04-13 20:28:00	UC	1106	SCL	MIA	2017-04-13 11:26	2017-04-13 19:23	2017-04-13 08:26	2017-04-13 15:23	InAir		N									2017-04-13 09:43	2017-04-13 12:43	Actual	FlightViewData	2017-04-13 16:51	2017-04-13 20:51	Estimated	FlightViewData												B763		L	Y			CL	US																		I	I								Y	Delayed						Y			Y																							
AA776PHXPHL04131910	2017-04-13 20:28:00	AA	776	PHX	PHL	2017-04-13 19:10	2017-04-13 23:46	2017-04-13 12:10	2017-04-13 19:46	InAir		N					2017-04-13 12:07	2017-04-13 19:07	Actual	AirlineData	2017-04-13 12:22	2017-04-13 19:22	Actual	AirlineData	2017-04-13 19:22	2017-04-13 23:22	Estimated	FlightViewData	2017-04-13 19:32	2017-04-13 23:32	Estimated	AirlineData	4	A21		A	A22	2	J	A321		L		1	1	US	US	N917UY					2017-04-13	2017-04-13			AA	600	2017-04-13 11:16	2017-04-13 18:16	T				I	I			06	06														Y	2017-04-13 23:23	2017-04-13 19:23																					
AA1673PHLRSW04131939	2017-04-13 20:28:00	AA	1673	PHL	RSW	2017-04-13 19:39	2017-04-13 22:32	2017-04-13 15:39	2017-04-13 18:32	InAir		N					2017-04-13 15:31	2017-04-13 19:31	Actual	AirlineData	2017-04-13 15:52	2017-04-13 19:52	Actual	AirlineData	2017-04-13 18:07	2017-04-13 22:07	Estimated	FlightViewData	2017-04-13 18:05	2017-04-13 22:05	Estimated	AirlineData	C	C27			D3	9	J	A320		L		1	1	US	US	N124US					2017-04-13	2017-04-13			AA	1685	2017-04-13 14:40	2017-04-13 18:40	T				I	I			06	06														Y	2017-04-13 22:06	2017-04-13 18:06																					
AA2440BZEMIA04131909	2017-04-13 20:28:00	AA	2440	BZE	MIA	2017-04-13 19:09	2017-04-13 21:15	2017-04-13 13:09	2017-04-13 17:15	InAir		N					2017-04-13 13:23	2017-04-13 19:23	Actual	AirlineData	2017-04-13 13:34	2017-04-13 19:34	Actual	AirlineData					2017-04-13 17:25	2017-04-13 21:25	Estimated	AirlineData		5A		N	D33	CD	J	A319		L		1	1	BZ	US	N9011P					2017-04-13	2017-04-13											I	I			06	06																	Y	2017-04-13 21:27	2017-04-13 17:27																		
AA3516YYZORD04131910	2017-04-13 20:28:00	AA	3516	YYZ	ORD	2017-04-13 19:10	2017-04-13 21:00	2017-04-13 15:10	2017-04-13 16:00	InAir		N					2017-04-13 15:02	2017-04-13 19:02	Actual	AirlineData	2017-04-13 15:16	2017-04-13 19:16	Actual	AirlineData	2017-04-13 15:28	2017-04-13 20:28	Estimated	FlightViewData	2017-04-13 15:44	2017-04-13 20:44	Estimated	AirlineData	3	A9		T3	G21	9	J	E145		L		1	1	CA	US	N679AE	MQ	3516			2017-04-13	2017-04-13									MQ		I	I			06	06														Y	2017-04-13 20:26	2017-04-13 15:26																					
AA5735DFWPNS04131842	2017-04-13 20:28:00	AA	5735	DFW	PNS	2017-04-13 18:42	2017-04-13 20:23	2017-04-13 13:42	2017-04-13 15:23	InAir		N					2017-04-13 13:56	2017-04-13 18:56	Actual	AirlineData	2017-04-13 14:12	2017-04-13 19:12	Actual	AirlineData	2017-04-13 15:30	2017-04-13 20:30	Estimated	FlightViewData	2017-04-13 15:36	2017-04-13 20:36	Estimated	AirlineData	B	B9			7	2	J	CRJ9		L		1	2	US	US	N908FJ	YV	5735			2017-04-13	2017-04-13			AA	5917	2017-04-13 12:57	2017-04-13 17:57	T		YV		I	I			06	06		DFW												Y	2017-04-13 20:29	2017-04-13 15:29																					
AA429SFOPHX04131915	2017-04-13 20:28:00	AA	429	SFO	PHX	2017-04-13 19:15	2017-04-13 21:18	2017-04-13 12:15	2017-04-13 14:18	InAir		N					2017-04-13 12:23	2017-04-13 19:23	Actual	AirlineData	2017-04-13 12:41	2017-04-13 19:41	Actual	AirlineData	2017-04-13 14:07	2017-04-13 21:07	Estimated	FlightViewData	2017-04-13 14:17	2017-04-13 21:17	Estimated	AirlineData	1	45B		4	A18		J	A321		L		1	2	US	US	N509AY					2017-04-13	2017-04-13											I	I			06	06		ORD												Y	2017-04-13 21:09	2017-04-13 14:09																					
AA2413SEADFW04132031	2017-04-13 20:28:00	AA	2413	SEA	DFW	2017-04-13 20:31	2017-04-14 00:33	2017-04-13 13:31	2017-04-13 19:33	OutGate		N					2017-04-13 13:27	2017-04-13 20:27	Actual	AirlineData									2017-04-13 19:30	2017-04-14 00:30	Estimated	AirlineData		D9		A	A29	A28	J	A321		L		1	1	US	US	N931AM					2017-04-13	2017-04-13			AA	1349	2017-04-13 12:41	2017-04-13 19:41	T				I	I			06	06				Y	Scheduled			Y	2017-04-13 20:31	2017-04-13 13:31							Y	2017-04-14 00:34	2017-04-13 19:34																		
